2139,57488,"XOOM Energy Illinois, LLC",NC,Retail Power Marketer,PJM
2140,57489,"XOOM Energy Massachusetts, LLC",NC,Retail Power Marketer,ISONE
2141,57490,"XOOM Energy Maryland, LLC",NC,Retail Power Marketer,PJM
2142,57491,"XOOM Energy New Jersey, LLC",NC,Retail Power Marketer,PJM
2143,58085,"Electricity Maine, LLC",ME,Retail Power Marketer,ISONE
2144,58086,"Electricity NH, LLC d/b/a ENH Power, LLC",ME,Retail Power Marketer,ISONE
2145,58096,Andeler Corporation dba Andeler Power,TX,Retail Power Marketer,ERCOT
2146,58116,"Public Power & Utility of Maryland, LLC",CT,Retail Power Marketer,PJM
2147,58117,Public Power & Utility - New Jersey,CT,Retail Power Marketer,PJM
2148,58118,Public Power LLC (PA),CT,Retail Power Marketer,PJM
2149,58119,Public Power LLC (CT),CT,Retail Power Marketer,PJM
2150,58123,Aha Macav Power Service,AZ,Political Subdivision,WECC
2151,58124,City of Winter Park - (FL),FL,Municipal,FRCC
2152,58125,Hercules Municipal Utility,CA,Municipal,CAISO
2153,58126,Pittsburg Power Company,CA,Municipal,CAISO
1107,13206,Nantucket Electric Co,MA,Investor Owned,NPCC
1108,13208,City of Naperville - (IL),IL,Municipal,RFC
1109,13209,City of Napoleon - (OH),OH,Municipal,RFC
1110,13214,The Narragansett Electric Co,RI,Investor Owned,NPCC
1111,13216,Nashville Electric Service,TN,Municipal,SERC
1112,13227,Natchez Trace Elec Power Assn,MS,Cooperative,SERC
1113,13228,City of Natchitoches,LA,Municipal,SPP
1114,13233,City of Neligh - (NE),NE,Municipal,MRO
1115,13292,Norris Electric Coop,IL,Cooperative,RFC
1116,13314,Navajo Tribal Utility Authority,AZ,State,WECC
1117,13318,"Navopache Electric Coop, Inc",AZ,Cooperative,WECC
1118,13332,"Navarro County Elec Coop, Inc",TX,Cooperative,TRE
1119,13334,City of Nebraska City,NE,Municipal,MRO
1120,13337,Nebraska Public Power District,NE,Political Subdivision,MRO
1121,13352,City of Negaunee,MI,Municipal,MISO
1122,13355,New England Hydro-Tran Elec Co,NY,Investor Owned,NPCC
1123,13356,New England Hydro-Trans Corp,NH,Investor Owned,NPCC
1124,13374,"Constellation NewEnergy, Inc",MA,Retail Power Marketer,NPCC
1125,13380,City of Neodesha - (KS),KS,Municipal,SPP
1126,13386,"Nemaha-Marshall E C A, Inc",KS,Cooperative,SPP
1127,13402,Nevada Irrigation District,CA,Political Subdivision,WECC
1128,13407,Nevada Power Co,NV,Investor Owned,WECC
1129,13412,City of New Albany - (MS),MS,Municipal,SERC
1130,13416,City of New Bern - (NC),NC,Municipal,SERC
1131,13418,City of New Braunfels - (TX),TX,Municipal,TRE
1132,13424,New Castle Municipal Serv Comm,DE,Municipal,RFC
1133,13433,New England Power Company,NY,Investor Owned,NPCC
1134,13437,City of Newbern,TN,Municipal,SERC
1135,13438,Village of New Glarus - (WI),WI,Municipal,MISO
1136,13441,New Hampshire Elec Coop Inc,NH,Cooperative,NPCC
1137,13444,City of New Hampton - (IA),IA,Municipal,MRO
1138,13448,City of New Holstein - (WI),WI,Municipal,MISO
1139,13467,New London Electric&Water Util,WI,Municipal,MISO
1140,13478,Entergy New Orleans Inc,LA,Investor Owned,SERC
1141,13480,New Prague Utilities Comm,MN,Municipal,MRO
1142,13481,City of New Richmond,WI,Municipal,MISO
1143,13482,New River Light & Power Co,NC,State,SERC
1144,13485,New Smyrna Beach City of,FL,Municipal,FRCC
1145,13488,New Ulm Public Utilities Comm,MN,Municipal,MRO
1146,13511,New York State Elec & Gas Corp,NY,Investor Owned,NPCC
1147,13519,City of Newark - (DE),DE,Municipal,RFC
1148,13520,"New-Mac Electric Coop, Inc",MO,Cooperative,SERC
1149,13523,City of Newberry - (SC),SC,Municipal,SERC
1150,13524,"Newberry Electric Coop, Inc",SC,Cooperative,SERC
1151,13539,New York Mun Power Agency,NY,Municipal Mktg Authority,NPCC
1152,13547,"Newnan Wtr, Sewer & Light Comm",GA,Municipal,SERC
1153,13550,City of Newport,TN,Municipal,SERC
1154,13561,City of Newton - (NC),NC,Municipal,SERC
1155,13570,Ninnescah Rural E C A Inc,KS,Cooperative,SPP
1156,13573,Niagara Mohawk Power Corp.,NY,Investor Owned,NPCC
1157,13577,City of Nicholasville - (KY),KY,Municipal,RFC
1158,13602,City of Niles - (OH),OH,Municipal,RFC
1159,13604,City of Niles - (MI),MI,Municipal,RFC
1160,13610,Niobrara Valley El Member Corp,NE,Cooperative,MRO
1161,13630,North Carolina Mun Power Agny #1,NC,Municipal Mktg Authority,SERC
1162,13640,Northern Virginia Elec Coop,VA,Cooperative,SERC
1163,13642,Nome Joint Utility Systems,AK,Municipal,AK
1164,13646,City of Norcross- (GA),GA,Municipal,SERC
1165,13647,Noble County R E M C,IN,Cooperative,RFC
1166,13651,Nolin Rural Electric Coop Corp,KY,Cooperative,RFC
1167,13664,Norris Public Power District,NE,Political Subdivision,MRO
1168,13669,North Alabama Electric Coop,AL,Cooperative,SERC
1169,13670,"Northeast Texas Elec Coop, Inc",TX,Cooperative,SPP
1170,13675,Nishnabotna Valley R E C,IA,Cooperative,MRO
1171,13676,"North Arkansas Elec Coop, Inc",AR,Cooperative,SPP
1172,13679,Town of North Attleborough - (MA),MA,Municipal,NPCC
1173,13683,North Carolina El Member Corp,NC,Cooperative,SERC
1174,13684,Nobles Cooperative Electric,MN,Cooperative,MRO
1175,13687,North Carolina Eastern M P A,NC,Municipal Mktg Authority,SERC
1176,13690,North Central MO Elec Coop Inc,MO,Cooperative,SERC
1177,13693,"North Central Elec Coop, Inc",OH,Cooperative,RFC
1178,13694,"North Central Elec Coop, Inc",ND,Cooperative,Not Assigned
1179,13697,North Central Power Co Inc,WI,Investor Owned,MRO
1180,13698,North Central Public Pwr Dist,NE,Political Subdivision,MRO
1181,13700,North Itasca Electric Coop Inc,MN,Cooperative,MRO
1182,13704,"North Western Elec Coop, Inc",OH,Cooperative,RFC
1183,13716,North Georgia Elec Member Corp,GA,Cooperative,SERC
1184,13718,City of North Little Rock - (AR),AR,Municipal,SERC
1185,13725,City of North Platte,NE,Municipal,MRO
1186,13730,City of North St Paul - (MN),MN,Municipal,MRO
1187,13731,"North Star Electric Coop, Inc",MN,Cooperative,MRO
1188,13734,Northeast Oklahoma Electric Co,OK,Cooperative,SPP
1189,13735,Northcentral Mississippi E P A,MS,Cooperative,SERC
1190,13738,Northeast Missouri El Pwr Coop,MO,Cooperative,SERC
1191,13739,Northeast Nebraska P P D,NE,Political Subdivision,MRO
1192,13750,"Northern Electric Coop, Inc",SD,Cooperative,MRO
1193,13756,Northern Indiana Pub Serv Co,IN,Investor Owned,RFC
1194,13757,North Plains Electric Coop Inc,TX,Cooperative,SPP
1195,13758,"Northern Lights, Inc",ID,Cooperative,WECC
1196,13762,"Northern Neck Elec Coop, Inc",VA,Cooperative,SERC
1197,13780,Northern States Power Co,MN,Investor Owned,MRO
1198,13781,Northern States Power Co - Minnesota,MN,Investor Owned,MRO
1199,13783,Northeast Louisiana Power Coop Inc.,LA,Cooperative,SERC
1200,13788,Northern Wasco County PUD,OR,Political Subdivision,WECC
1201,13789,Village of Northfield - (VT),VT,Municipal,NPCC
1202,13798,Northwest Iowa Power Coop,IA,Cooperative,MRO
1203,13799,Prairie Land Electric Coop Inc,KS,Cooperative,SPP
1204,13805,Northwest Rural Pub Pwr Dist,NE,Political Subdivision,WECC
1205,13807,Northwestern Electric Coop Inc - (OK),OK,Cooperative,SPP
1206,13809,NorthWestern Energy - (SD),SD,Investor Owned,MRO
1207,13815,Northwestern Wisconsin Elec Co,WI,Investor Owned,MRO
1208,13825,Norwalk Third Taxing District,CT,Municipal,NPCC
1209,13826,City of Norway,MI,Municipal,MISO
1210,13830,Nueces Electric Cooperative,TX,Cooperative,TRE
1211,13831,City of Norwich - (CT),CT,Municipal,NPCC
1212,13838,"Northfork Electric Coop, Inc",OK,Cooperative,SPP
1213,13839,City of Norwood - (MA),MA,Municipal,NPCC
1214,13853,Oahe Electric Coop Inc,SD,Cooperative,MRO
1215,13933,City of Oak Ridge,TN,Municipal,SERC
1216,13934,Ocmulgee Electric Member Corp,GA,Cooperative,SERC
1217,13935,Oakdale&South San Joaquin Irrigation D.,CA,Political Subdivision,WECC
1218,13936,Oakdale Electric Coop,WI,Cooperative,MRO
1219,13949,City of Oberlin - (OH),OH,Municipal,RFC
1220,13955,City of Ocala,FL,Municipal,FRCC
1221,13962,Oconee Electric Member Corp,GA,Cooperative,SERC
1222,13963,Oconomowoc Utilities,WI,Municipal,MISO
1223,13964,Oconto Electric Cooperative,WI,Cooperative,RFC
1224,13965,Oconto Falls Water & Light Comm,WI,Municipal,MISO
2154,58139,Town of Pickstown - (SD),SD,Municipal,Not Assigned
2155,58142,Cincinnati Bell Energy LLC,CT,Retail Power Marketer,PJM
2156,58158,FairPoint Energy LLC,CT,Retail Power Marketer,ISONE
2157,58160,Viridian Energy NY LLC,CT,Retail Power Marketer,NYISO
2158,58161,Viridian Energy LLC,CT,Retail Power Marketer,ISONE
2159,58162,Viridian Energy PA LLC,CT,Retail Power Marketer,PJM
2160,58181,"Stream Energy New York, LLC",NY,Retail Power Marketer,NYISO
2161,58196,"C. N. Brown Electricity, LLC",ME,Retail Power Marketer,ISONE
2162,58204,"HOP Energy, LLC",NY,Retail Power Marketer,NPCC
2163,58230,MJMEUC,MO,Wholesale Power Marketer,SPP
2164,58245,Patua Project LLC,NV,Wholesale Power Marketer,WECC
2165,58248,"EnergyMark, LLC",NY,Retail Power Marketer,NYISO
2166,58263,V247 Power Corporation,VA,Retail Power Marketer,TRE
2167,58314,"Palmco Power IL, LLC",NY,Retail Power Marketer,Not Assigned
2168,58339,"XOOM Energy Pennsylvania, LLC",NC,Retail Power Marketer,PJM
2169,58364,New Brunswick Power Generation Corp.,CN,Retail Power Marketer,NPCC
2170,58367,"XOOM Energy New York, LLC",NC,Retail Power Marketer,NYISO
2171,58457,"EDF Industrial Power Services (CA), LLC",TX,Retail Power Marketer,ERCOT
2172,58458,Silver State Energy Association,NV,Retail Power Marketer,WECC
2173,58476,"Stream Energy Columbia, LLC",DC,Retail Power Marketer,PJM
2174,58630,"XOOM Energy Maine, LLC",NC,Retail Power Marketer,Not Assigned
2175,58631,"XOOM Energy Rhode Island, LLC",NC,Retail Power Marketer,Not Assigned
2176,58632,"XOOM Energy Delaware, LLC",NC,Retail Power Marketer,Not Assigned
2177,58633,"XOOM Energy New Hampshire, LLC",NC,Retail Power Marketer,Not Assigned
2178,58663,Respond Power LLC,NY,Retail Power Marketer,NYISO
2179,58667,"North American Power and Gas, LLC",CT,Retail Power Marketer,PJM
2180,58683,Everyday Energy LLC,CT,Retail Power Marketer,PJM
2181,58708,EDF Industrial Power Services (OH),TX,Retail Power Marketer,ERCOT
2182,58747,"Provider Power MASS, LLC",ME,Retail Power Marketer,PJM
2183,58799,"Mega Energy of New England, LLC",TX,Retail Power Marketer,ERCOT
2184,58805,Pro Power Providers,TX,Retail Power Marketer,ERCOT
2185,58806,"Mint Energy, LLC",MA,Retail Power Marketer,NPCC
2186,58851,City of Cerritos - (CA),CA,Municipal,CAISO
2187,58853,Kiwi Energy NY LLC,NY,Retail Power Marketer,NYISO
2188,58859,"Enertrade Electric, LLC",TX,Retail Power Marketer,ERCOT
2189,58950,"Galt Power Texas, LLC",PA,Retail Power Marketer,PJM
2190,58951,"Ethical Electric, Inc.",DC,Retail Power Marketer,PJM
2191,58952,Sperian Energy Corp,NV,Retail Power Marketer,WECC
2192,58953,"Star Energy Partners, LLC",OH,Retail Power Marketer,Not Assigned
2193,58954,Breeze LLC,TX,Retail Power Marketer,TRE
2194,58956,"SmartEnergy Holdings, LLC",NY,Retail Power Marketer,NYISO
2195,58957,"Interstate Gas Supply, Inc.",OH,Retail Power Marketer,Not Assigned
2196,58958,"Border Energy, Inc",OH,Retail Power Marketer,Not Assigned
2197,58963,Brooklet Energy Distribution,TX,Retail Power Marketer,ERCOT
2198,58964,"Alpha Gas and Electric, LLC",NY,Retail Power Marketer,NYISO
2199,58965,Energy.Me Midwest LLC,IL,Retail Power Marketer,SERC
2200,58966,Marathon Power LLC,NY,Retail Power Marketer,NYISO
2201,58972,"Realgy, LLC",CT,Retail Power Marketer,PJM
2202,58973,"Discount Energy Group, LLC",MN,Retail Power Marketer,PJM
2203,58978,"Harborside Energy, LLC",NJ,Retail Power Marketer,PJM
2204,58992,"Longfellow Wind, LLC",MA,Wholesale Power Marketer,NPCC
2205,58993,"First Wind Energy Marketing, LLC",MA,Wholesale Power Marketer,NYISO
2206,59012,"Mega Energy of New Hampshire, LLC",TX,Retail Power Marketer,ERCOT
2207,59013,PUD No 1 of Jefferson County,WA,Political Subdivision,WECC
2208,59052,Astral Energy LLC,NJ,Retail Power Marketer,NYISO
2209,59053,"Abest Power & Gas, LLC",NY,Retail Power Marketer,NYISO
2210,59054,"Eligo Energy, LLC",IL,Retail Power Marketer,PJM
2211,59055,"Choice Energy, LLC d/b/a 4 Choice Energy",IA,Retail Power Marketer,PJM
2212,59057,"Mega Energy of Maine, LLC",TX,Retail Power Marketer,ERCOT
2213,59058,"Gerdau Ameristeel Energy, Inc.",FL,Retail Power Marketer,RFC
2214,59059,Town Square Energy,MN,Retail Power Marketer,ISONE
2215,59060,Union Atlantic Electricity,ME,Retail Power Marketer,ISONE
2216,59061,Pioneer Power LLC DBA Pioneer Energy,TX,Retail Power Marketer,ERCOT
